date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:16:19	18950/18950	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Jul%202025%2022:16:14%20GMT	https://logisticaofc.com/REFTXGU/verificar.php?cpf=98537725668&cod=REFCL	C:/My%20Web%20Sites/Correios/logisticaofc.com/REFTXGU/verificar1ab9.html	(from )
19:16:20	12447/12447	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Jul%202025%2022:16:14%20GMT	https://logisticaofc.com/REFTXGU/	C:/My%20Web%20Sites/Correios/logisticaofc.com/REFTXGU/index.html	(from )
19:16:20	6523/6523	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Jul%202025%2022:16:15%20GMT	https://logisticaofc.com/REFTXGU/pagamento.php?telefone=(19)%2056649-9956&cpf=98537725668&nome=RENATO%20MENDES%20DIAS&email=dccqqx9v%40yahoo.com&cod=REFCL	C:/My%20Web%20Sites/Correios/logisticaofc.com/REFTXGU/pagamentod7c0.html	(from )
19:16:20	11488/11488	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Jul%202025%2022:16:15%20GMT	https://logisticaofc.com/REFTXGU/taxa.php?telefone=(19)%2056649-9956&cpf=985.377.256-68&nome=RENATO%20MENDES%20DIAS&email=dccqqx9v%40yahoo.com&valor=3723&cod=REFCL	C:/My%20Web%20Sites/Correios/logisticaofc.com/REFTXGU/taxa0738.html	(from )
19:16:20	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Jul%202025%2022:16:15%20GMT	https://logisticaofc.com/robots.txt		(from )
19:16:21	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Jul%202025%2022:16:16%20GMT	https://logisticaofc.com/REFTXGU/images/favi-ect.png	C:/My%20Web%20Sites/Correios/logisticaofc.com/REFTXGU/images/favi-ect.png	(from https://logisticaofc.com/REFTXGU/)
19:16:21	155850/155850	---M-Z	200	added ('OK')	text/css	date:Sun,%2026%20Jan%202025%2021:51:44%20GMT	https://logisticaofc.com/REFTXGU/css/bootstrap.min.css	C:/My%20Web%20Sites/Correios/logisticaofc.com/REFTXGU/css/bootstrap.min.css	(from https://logisticaofc.com/REFTXGU/)
19:16:21	5536/5536	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20May%202025%2023:49:54%20GMT	https://logisticaofc.com/REFTXGU/css/custom.css	C:/My%20Web%20Sites/Correios/logisticaofc.com/REFTXGU/css/custom.css	(from https://logisticaofc.com/REFTXGU/)
19:16:21	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/My%20Web%20Sites/Correios/code.jquery.com/jquery-3.6.0.min.js	(from https://logisticaofc.com/REFTXGU/)
19:16:22	103009/103009	---M-Z	200	added ('OK')	text/css	etag:%22660cc074-5556%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.2/css/all.min.css	C:/My%20Web%20Sites/Correios/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.2/css/all.min.css	(from https://logisticaofc.com/REFTXGU/)
19:16:22	14709/14709	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Jan%202025%2021:51:44%20GMT	https://logisticaofc.com/REFTXGU/images/rodape-monitor.png	C:/My%20Web%20Sites/Correios/logisticaofc.com/REFTXGU/images/rodape-monitor.png	(from https://logisticaofc.com/REFTXGU/)
19:16:23	131225/131225	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Jan%202025%2021:51:44%20GMT	https://logisticaofc.com/REFTXGU/images/banners-seu_correios_994.jpg	C:/My%20Web%20Sites/Correios/logisticaofc.com/REFTXGU/images/banners-seu_correios_994.jpg	(from https://logisticaofc.com/REFTXGU/)
19:16:23	484/484	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Jan%202025%2021:51:44%20GMT	https://logisticaofc.com/REFTXGU/images/rodape-duvida.png	C:/My%20Web%20Sites/Correios/logisticaofc.com/REFTXGU/images/rodape-duvida.png	(from https://logisticaofc.com/REFTXGU/)
19:16:23	422/422	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Jan%202025%2021:51:44%20GMT	https://logisticaofc.com/REFTXGU/images/rodape-negocios.png	C:/My%20Web%20Sites/Correios/logisticaofc.com/REFTXGU/images/rodape-negocios.png	(from https://logisticaofc.com/REFTXGU/)
19:16:24	667/667	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Jan%202025%2021:51:44%20GMT	https://logisticaofc.com/REFTXGU/images/rodape-headset.png	C:/My%20Web%20Sites/Correios/logisticaofc.com/REFTXGU/images/rodape-headset.png	(from https://logisticaofc.com/REFTXGU/)
19:16:24	416/416	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Jan%202025%2021:51:44%20GMT	https://logisticaofc.com/REFTXGU/images/rodape-ouvidoria.png	C:/My%20Web%20Sites/Correios/logisticaofc.com/REFTXGU/images/rodape-ouvidoria.png	(from https://logisticaofc.com/REFTXGU/)
19:16:24	545/545	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Jan%202025%2021:51:44%20GMT	https://logisticaofc.com/REFTXGU/images/rodape-denuncia.png	C:/My%20Web%20Sites/Correios/logisticaofc.com/REFTXGU/images/rodape-denuncia.png	(from https://logisticaofc.com/REFTXGU/)
19:16:24	669/669	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Jan%202025%2021:51:44%20GMT	https://logisticaofc.com/REFTXGU/images/rodape-identidade.png	C:/My%20Web%20Sites/Correios/logisticaofc.com/REFTXGU/images/rodape-identidade.png	(from https://logisticaofc.com/REFTXGU/)
19:16:24	1144/1144	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Jan%202025%2021:51:44%20GMT	https://logisticaofc.com/REFTXGU/images/rodape-educacao.png	C:/My%20Web%20Sites/Correios/logisticaofc.com/REFTXGU/images/rodape-educacao.png	(from https://logisticaofc.com/REFTXGU/)
19:16:25	1228/1228	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Jan%202025%2021:51:44%20GMT	https://logisticaofc.com/REFTXGU/images/rodape-codigo-etica.png	C:/My%20Web%20Sites/Correios/logisticaofc.com/REFTXGU/images/rodape-codigo-etica.png	(from https://logisticaofc.com/REFTXGU/)
